Product	Encouter	Enroll	EnAuto	Calc	CalAuto	Attribution	MemberID	EnrollType	Notmeet	Enible	Destination
15	2	1	2	2	2	1	1	1	2	2	6
39	2	1	1	1	2	2	1	2	2	1	5
32	2	3	1	2	2	2	1	2	1	1	4
38	1	3	1	1	2	13	2	1	2	1	6
12	2	3	1	3	2	9	1	1	1	2	1
34	2	3	2	3	1	12	2	2	1	1	4
41	1	3	2	3	2	16	2	3	2	1	5
7	1	3	1	2	2	5	1	3	2	1	6
9	2	3	2	2	1	22	1	1	2	1	1
24	2	1	2	1	1	2	2	2	1	1	6
5	2	1	2	1	1	12	1	1	2	2	3
36	2	2	2	1	2	2	2	3	2	2	1
25	2	2	1	1	1	19	2	3	2	2	1
33	2	2	2	2	2	5	2	1	2	2	2
26	1	3	2	2	1	1	2	2	2	1	1
38	1	2	1	2	1	23	2	3	1	2	4
39	1	1	1	3	2	15	1	1	2	2	1
32	2	1	2	3	1	15	1	2	1	2	6
31	2	1	1	3	1	23	1	1	2	1	6
36	1	1	1	3	2	3	1	1	1	1	3
34	2	1	2	1	2	16	1	1	2	2	2
19	2	2	1	3	2	5	2	3	2	1	3
11	2	2	2	3	1	18	2	1	1	2	3
31	2	3	2	2	1	24	2	3	1	2	5
47	2	3	1	3	1	4	2	1	1	1	3
16	1	1	1	3	1	10	1	1	1	1	2
4	1	3	2	1	1	19	2	2	1	2	6
28	1	3	1	1	1	18	1	3	1	1	4
5	1	3	2	2	2	15	2	3	2	2	4
32	1	1	2	2	1	17	1	3	2	1	1
6	2	2	1	1	1	7	2	3	2	1	3
41	2	1	1	1	1	8	1	1	1	2	6
31	2	3	2	1	2	2	2	1	2	2	1
34	2	2	2	3	2	14	1	2	1	1	5
12	1	3	2	2	1	18	1	2	2	1	6
41	1	1	2	2	1	11	1	2	1	1	2
46	1	1	1	3	1	2	1	2	2	1	4
29	2	2	2	2	2	5	1	1	2	2	5
7	2	3	2	1	2	8	1	2	2	1	1
17	2	3	1	3	1	3	1	3	1	2	1
3	2	2	2	3	1	19	2	3	2	1	6
13	2	1	2	3	1	14	1	2	2	2	5
47	2	3	2	2	2	16	1	2	1	1	2
16	1	1	1	1	1	6	1	2	2	1	4
47	1	3	2	3	2	19	2	3	2	2	5
11	1	1	1	2	2	6	1	3	2	1	6
35	1	2	2	2	2	14	1	3	2	2	1
26	1	1	1	1	1	13	1	3	2	1	3
1	2	2	2	3	2	8	1	2	2	1	4
40	2	3	2	2	2	9	1	2	1	1	5
47	2	3	1	3	2	5	2	1	1	1	4
42	2	2	1	1	2	3	2	1	2	2	4
21	2	1	2	2	1	6	2	3	2	1	5
17	1	2	1	2	1	2	2	3	2	1	2
29	2	3	1	2	2	12	1	1	1	2	6
7	1	2	2	2	2	23	1	1	1	1	5
36	2	3	1	2	1	20	2	3	1	1	5
27	2	1	2	2	2	23	2	2	2	2	3
19	1	1	1	1	2	3	2	2	2	2	5
38	1	3	1	2	1	10	1	3	2	1	5
7	2	2	1	1	1	20	2	2	2	2	4
32	1	1	2	2	2	6	1	2	1	1	2
45	1	2	1	2	2	21	1	3	2	1	2
20	1	2	2	1	2	23	2	1	1	1	4
22	2	1	2	1	1	5	1	2	1	1	4
10	1	1	2	3	2	1	2	2	2	1	6
10	2	1	2	3	1	8	1	3	2	1	3
14	2	1	2	2	2	18	2	1	1	2	1
26	2	2	1	1	1	22	2	1	1	2	5
25	1	1	2	1	1	22	2	2	2	1	2
11	2	3	1	1	1	19	2	2	2	1	5
30	1	1	1	2	1	22	2	1	1	1	3
40	1	3	2	1	1	10	2	2	1	2	6
26	2	1	1	2	1	6	1	3	2	2	4
16	2	2	2	3	2	17	1	1	2	2	3
31	1	3	1	2	1	3	2	2	1	2	2
6	2	3	1	3	1	5	1	3	2	1	6
13	2	3	2	2	1	13	2	1	1	2	1
26	2	1	1	1	1	4	2	2	1	1	2
40	1	2	1	3	2	20	1	3	1	2	3
36	1	3	2	3	2	15	2	3	2	2	3
3	1	1	1	1	2	15	1	2	1	1	5
6	2	3	1	3	2	2	2	1	1	1	5
40	1	1	1	1	1	16	1	2	2	1	1
16	1	3	1	1	1	3	1	3	2	1	6
1	1	3	1	2	1	10	1	1	2	2	2
41	1	2	2	2	2	21	2	2	2	1	3
14	2	2	2	1	1	20	2	2	1	1	2
47	2	3	2	1	2	24	2	3	2	2	3
23	2	2	1	1	2	12	2	1	2	1	5
15	1	3	1	3	2	12	1	2	2	1	4
36	1	2	1	3	1	7	1	1	1	1	5
48	2	3	2	1	2	8	1	1	2	1	5
19	2	3	1	3	1	17	2	1	1	1	4
5	2	1	1	3	2	6	1	2	2	2	6
1	2	1	2	2	1	24	1	1	2	1	6
27	1	1	1	1	1	9	1	2	1	2	4
28	1	2	2	2	1	11	2	3	2	1	3
30	2	2	1	3	2	2	1	1	2	2	1
12	1	1	1	3	1	4	2	2	1	2	5
5	2	3	2	2	1	1	1	3	2	2	5
4	1	3	2	2	2	17	2	1	2	2	4
17	2	3	2	2	1	5	1	2	2	1	5
39	2	1	2	1	1	12	1	3	1	2	2
37	1	1	1	3	2	5	2	3	1	1	5
2	1	1	2	3	2	21	1	1	1	2	1
31	2	3	1	2	1	19	1	1	1	1	3
36	2	1	1	1	2	4	1	2	2	2	2
3	1	1	1	1	1	24	1	2	1	2	2
30	2	3	2	1	2	20	2	1	2	1	5
34	1	3	1	2	2	20	1	1	1	2	6
25	2	3	2	1	1	10	2	1	1	1	1
33	2	3	2	3	2	17	1	2	1	1	6
30	2	1	1	1	2	10	2	3	2	2	4
43	2	3	1	1	2	22	1	3	1	1	4
19	2	2	1	2	2	16	2	2	2	1	2
26	2	1	2	3	1	15	2	3	2	2	1
31	2	2	1	1	1	16	1	3	2	1	6
27	2	3	2	2	1	4	1	1	2	2	6
3	2	2	2	2	1	7	2	3	1	2	1
35	2	3	2	1	1	2	1	2	2	2	4
5	1	1	2	1	2	23	1	3	1	1	1
9	1	1	2	2	2	6	1	2	2	2	4
42	1	1	1	2	1	2	1	2	2	2	1
18	2	3	2	2	1	16	2	3	1	1	3
21	1	3	1	1	1	1	2	2	2	2	4
13	2	3	2	3	1	5	1	2	2	1	4
12	2	3	2	2	2	6	2	2	1	1	2
37	2	2	2	1	2	12	1	1	1	1	4
33	1	2	2	2	2	8	2	1	2	2	3
24	1	2	2	3	1	11	1	3	1	2	6
6	1	1	2	2	1	24	2	2	2	1	5
26	2	1	2	2	1	17	2	1	2	1	6
28	2	1	1	3	1	21	2	3	2	1	4
7	2	2	2	1	2	1	2	1	2	1	2
30	1	3	1	2	2	12	2	3	1	1	5
23	1	3	2	2	2	16	2	3	2	2	1
32	1	3	2	2	2	1	2	1	1	2	5
31	1	2	2	2	1	11	2	1	2	2	5
42	1	3	2	3	1	16	1	1	2	2	2
44	2	3	1	1	2	15	2	1	2	1	1
13	1	1	2	1	1	12	1	2	1	2	2
37	2	3	1	2	2	1	2	3	2	1	6
19	2	2	1	1	2	10	1	1	1	1	6
29	2	2	1	1	2	3	1	3	2	2	2
15	2	1	2	2	1	8	2	1	1	2	3
22	1	2	1	2	2	6	2	1	2	2	5
48	1	1	2	2	2	7	2	3	2	2	3
2	2	3	1	2	1	13	2	3	2	1	2
38	1	2	2	3	2	7	2	1	2	1	4
15	2	1	1	1	2	15	1	2	2	2	1
18	1	1	2	1	1	11	2	3	2	1	5
41	1	3	1	3	2	10	2	1	1	2	1
40	2	2	1	2	1	12	1	1	1	1	3
5	1	1	2	1	2	14	1	1	1	1	4
48	1	2	1	3	2	1	1	3	1	2	6
11	2	1	2	3	1	15	1	3	1	2	2
8	2	2	1	3	2	20	2	3	2	1	5
37	1	1	2	3	1	8	2	1	1	2	3
41	2	3	2	1	1	4	1	2	2	2	4
22	2	3	2	3	1	19	1	3	1	1	1
41	2	1	2	1	2	24	1	1	2	1	3
40	1	2	1	1	2	7	1	3	1	1	6
1	1	1	1	3	2	7	2	2	1	1	1
4	1	1	1	2	2	16	1	1	1	1	5
41	2	1	1	2	2	12	2	2	1	2	5
28	2	1	2	3	2	19	1	2	2	1	2
42	1	2	1	1	1	10	1	1	1	2	3
14	1	3	2	3	2	6	1	1	2	2	5
37	1	3	2	2	1	19	2	3	1	2	1
15	2	1	2	1	1	22	1	3	2	1	1
39	2	1	1	1	2	6	2	2	1	1	4
41	1	1	2	2	2	9	1	3	2	2	3
5	2	3	2	3	1	19	2	3	2	2	2
26	2	2	2	3	1	18	2	1	1	2	6
37	1	2	1	1	1	24	2	3	1	2	4
28	1	3	2	1	1	24	2	2	2	1	1
45	2	3	2	3	1	16	2	1	1	2	6
21	1	3	1	1	2	14	2	1	1	2	3
2	2	2	2	1	1	14	1	2	1	1	3
38	1	2	1	3	2	3	1	3	1	1	6
16	2	1	1	2	2	11	1	2	1	2	1
10	1	2	2	2	2	17	1	1	1	2	1
15	1	1	1	2	1	5	2	3	1	1	5
4	2	1	1	3	2	24	2	2	2	1	3
29	2	1	2	3	2	22	2	1	2	1	5
45	2	1	2	1	2	7	1	2	2	2	1
5	1	2	1	2	1	22	1	1	1	2	5
20	1	1	2	3	2	22	2	3	1	1	6
44	1	2	1	3	1	18	2	1	1	1	2
13	2	3	1	1	1	7	1	1	1	2	3
7	1	1	1	2	1	12	2	3	2	1	6
27	2	1	1	3	2	3	2	3	2	2	1
21	2	1	2	3	2	18	2	2	1	2	2
10	1	3	2	3	1	21	2	2	2	2	1
1	1	1	2	1	2	23	2	3	2	2	4
3	1	2	1	1	1	20	2	1	1	2	4
33	2	3	2	1	2	10	2	3	2	2	1
15	2	3	1	1	1	7	2	3	2	2	5
9	1	1	1	1	1	7	2	1	2	2	2
16	2	3	1	3	2	14	2	3	2	1	5
13	1	2	1	2	2	22	2	3	1	2	6
23	1	2	2	2	2	9	2	3	1	1	4
31	2	3	2	1	2	18	2	2	2	2	3
31	2	2	1	1	1	20	2	2	2	1	4
47	1	3	1	1	1	17	2	2	1	2	6
48	1	3	1	3	1	12	1	1	2	2	1
28	2	1	2	2	2	23	2	3	1	2	1
2	2	3	1	3	2	16	1	1	2	2	5
9	2	3	1	2	1	2	1	2	2	1	5
11	1	1	1	2	1	22	2	1	1	2	4
42	1	1	1	3	2	22	1	2	2	2	5
45	1	3	2	2	1	14	1	1	2	2	4
12	2	2	1	2	2	19	1	3	1	1	2
8	1	1	2	3	1	24	2	3	1	2	1
33	1	2	2	2	2	9	1	1	2	2	5
35	2	1	2	2	2	1	2	1	2	1	3
24	1	3	2	2	2	14	2	1	1	2	4
22	2	1	1	2	1	2	1	2	1	2	2
15	1	2	2	2	2	4	2	3	2	2	1
29	2	2	1	1	1	23	1	2	1	1	2
42	1	1	2	3	1	21	1	1	2	1	2
2	2	1	1	1	1	4	1	3	1	1	6
14	2	2	1	2	1	9	2	2	2	2	3
14	2	1	1	3	2	24	2	2	2	2	4
37	2	2	2	3	1	13	2	3	1	2	5
32	1	3	2	1	2	11	2	1	2	2	6
36	2	1	1	2	1	19	2	1	1	2	1
8	1	3	1	2	1	2	2	3	1	2	4
17	2	2	2	2	2	14	2	1	2	1	4
35	1	1	2	2	2	17	1	3	1	1	5
6	2	2	2	1	1	21	2	1	1	1	6
21	1	2	1	3	1	12	1	2	1	2	6
30	1	2	1	3	2	13	2	3	2	2	5
29	1	3	1	3	1	15	2	2	2	2	1
45	2	1	1	1	1	11	2	3	2	2	3
21	1	2	1	1	1	23	2	2	2	2	6
39	2	3	2	1	2	7	1	1	1	1	2
44	1	2	1	1	1	22	2	2	2	2	3
29	2	3	1	1	1	21	2	1	1	1	2
37	1	2	2	3	1	6	2	3	2	2	4
19	1	1	2	1	1	8	1	1	2	1	5
38	2	2	2	2	2	12	1	3	1	2	5
44	2	2	1	2	1	16	2	3	2	1	6
14	2	3	1	1	1	23	1	1	2	1	1
14	1	1	1	3	1	4	2	2	2	2	1
28	1	2	1	3	1	7	1	2	2	2	5
33	2	2	1	3	2	16	1	1	2	1	4
33	2	3	1	1	1	23	2	3	2	2	6
10	2	3	1	3	1	20	2	2	2	1	6
40	1	1	2	2	1	11	1	3	2	2	4
18	1	2	2	1	1	7	1	3	1	2	2
32	1	1	2	3	1	21	2	3	2	2	5
25	1	1	2	2	1	18	2	3	2	2	5
1	2	2	2	1	1	12	1	2	2	1	3
20	1	2	2	2	1	12	1	3	2	1	5
32	2	3	1	2	1	12	2	2	2	1	1
18	1	2	1	2	1	8	1	3	2	2	5
25	1	2	2	3	1	6	1	1	1	1	4
15	2	1	1	2	1	10	1	2	1	2	5
32	2	2	2	3	1	14	1	3	2	1	5
48	2	2	2	2	2	2	1	1	2	2	2
4	1	1	2	2	1	21	1	2	1	1	4
48	2	2	1	1	2	11	1	2	1	2	1
39	1	2	1	1	2	14	2	1	2	2	3
29	2	2	1	1	1	10	1	1	2	2	3
43	1	1	1	3	2	17	2	2	1	1	3
35	2	2	1	3	2	15	1	3	2	1	6
43	1	3	1	3	2	10	1	1	1	1	6
25	1	2	2	2	1	24	1	2	2	2	4
40	2	3	2	2	1	19	2	2	2	1	1
37	2	2	1	2	2	11	2	3	1	1	3
35	2	2	2	3	1	6	1	2	1	1	6
7	2	3	1	2	2	7	2	2	2	2	5
46	2	1	1	2	2	17	2	1	2	1	3
18	1	1	1	1	1	23	1	3	2	1	4
6	2	3	1	2	2	6	1	1	1	2	1
47	2	1	1	2	2	10	2	2	1	2	2
15	2	1	1	3	2	6	1	2	2	1	6
43	1	3	1	2	2	8	1	1	2	1	5
2	1	2	1	3	2	11	2	2	2	1	4
42	2	3	2	2	2	13	1	1	1	2	3
5	1	1	1	2	1	4	2	1	2	1	3
18	1	1	1	3	2	6	1	3	1	2	3
47	2	2	2	3	1	18	1	3	1	1	5
25	2	3	1	2	1	13	2	3	1	2	1
28	2	2	1	1	2	15	2	1	1	2	6
18	2	3	1	1	1	17	1	3	2	2	5
14	1	3	2	1	1	8	1	1	1	2	1
21	2	3	1	3	2	13	1	2	2	1	5
19	1	3	2	3	2	14	2	1	2	2	3
46	1	3	1	1	2	18	2	1	2	1	1
11	1	2	1	3	1	11	2	3	1	2	1
29	2	3	1	1	2	16	2	2	2	2	2
23	1	2	1	3	1	10	1	3	1	2	1
30	2	2	1	1	1	6	1	3	1	2	6
27	1	3	2	1	2	18	2	2	1	2	3
33	2	3	2	1	2	3	1	1	1	1	2
17	1	3	1	2	1	10	2	1	1	2	2
44	2	3	2	2	1	23	2	1	2	1	2
38	1	1	1	2	2	17	2	3	2	1	4
21	2	3	2	2	2	20	2	3	1	1	3
47	1	3	2	3	2	21	1	3	2	2	3
16	2	3	2	2	1	19	2	1	2	1	1
10	2	3	2	3	2	2	1	2	2	1	6
9	2	1	2	2	2	8	1	2	1	1	3
11	2	2	1	3	1	16	1	3	1	1	2
35	1	1	2	1	2	20	1	2	2	2	2
45	2	2	1	1	1	13	2	3	1	2	5
39	1	3	2	1	1	24	1	3	1	1	1
2	1	1	2	2	1	2	2	2	2	1	2
25	2	1	1	2	2	1	1	1	1	1	2
3	2	2	1	2	1	9	1	3	2	2	3
20	1	1	1	1	1	15	1	2	1	1	3
19	2	2	2	2	1	1	2	2	2	2	1
2	1	2	1	3	1	10	1	1	1	2	3
3	1	3	2	1	1	22	2	2	1	2	5
2	2	1	1	1	2	12	1	2	2	2	2
35	1	1	1	2	1	10	2	2	1	1	1
42	1	2	1	2	2	8	1	2	1	2	5
38	1	3	1	3	1	20	1	1	1	1	3
34	1	3	2	1	2	18	2	2	2	1	1
2	2	1	2	2	2	24	1	2	2	2	2
45	2	2	1	1	1	22	2	1	1	2	2
4	1	1	2	1	1	7	1	1	2	1	4
29	1	2	1	3	2	6	1	3	2	1	6
2	2	1	1	1	1	8	2	2	2	2	2
38	1	1	1	1	2	24	2	3	1	1	5
4	2	3	1	3	2	15	2	1	1	1	1
16	2	2	1	1	2	16	1	2	1	1	3
42	1	3	2	2	2	20	1	3	1	2	5
4	2	3	1	2	1	4	1	1	1	2	2
42	1	1	2	3	2	19	1	3	1	1	4
35	2	1	2	3	1	5	2	2	2	2	6
48	2	2	1	3	1	23	1	3	2	1	5
36	1	1	2	3	2	23	1	3	2	2	1
2	1	2	2	2	2	5	1	3	1	2	1
23	2	1	1	1	1	8	1	2	1	1	6
30	1	2	1	2	1	21	2	2	1	2	5
43	2	3	2	3	1	12	1	1	1	1	2
9	2	3	1	2	1	16	1	1	1	1	3
21	2	1	2	2	2	19	2	1	2	2	6
8	2	3	2	2	1	13	1	3	1	1	5
30	1	2	1	3	2	5	2	1	1	2	2
28	1	1	1	3	2	9	1	1	1	1	1
12	1	2	2	2	1	17	1	2	1	2	2
45	2	1	1	1	1	23	2	3	2	1	1
43	1	3	1	3	2	9	1	3	2	1	6
23	1	2	2	1	2	17	2	1	2	1	4
3	2	3	1	2	2	21	1	2	1	1	5
25	2	3	1	2	2	15	1	2	1	1	2
6	1	3	1	2	1	15	2	2	1	1	4
19	1	3	2	3	1	12	2	1	1	2	3
22	1	1	2	3	2	14	2	1	1	1	6
46	1	3	2	2	1	8	2	2	1	1	3
16	2	2	2	3	1	21	2	2	2	2	1
15	1	3	1	2	1	17	1	2	1	1	6
43	1	1	1	2	1	19	1	1	2	1	2
2	2	1	2	1	1	3	1	3	1	1	5
36	2	3	2	2	1	16	1	2	1	2	4
35	2	2	1	1	2	21	1	2	1	2	3
26	1	2	1	2	1	16	1	3	2	2	4
42	2	2	2	1	2	11	1	1	1	1	3
9	1	3	1	3	1	20	1	1	1	2	4
20	1	3	1	1	2	9	2	2	2	1	2
29	1	2	1	3	1	17	1	2	1	2	4
3	1	2	2	2	2	17	1	3	1	2	4
34	1	1	1	2	2	21	2	1	2	1	5
22	2	3	1	1	1	18	2	1	2	1	3
40	1	3	2	2	2	15	1	2	2	1	2
33	2	2	2	1	1	12	2	2	1	2	4
29	2	3	2	3	1	2	1	1	2	2	3
10	1	3	2	3	2	11	2	2	2	2	1
27	1	1	1	2	1	17	1	1	1	2	1
20	2	1	2	1	1	14	2	2	1	2	2
6	1	1	2	1	1	20	2	2	2	1	4
23	1	1	1	3	1	13	1	2	1	2	3
6	2	1	1	2	1	1	2	1	2	1	4
7	1	2	1	1	2	11	2	1	1	2	6
37	2	2	1	2	1	20	2	3	2	2	3
3	2	2	2	3	2	11	1	3	1	1	1
9	2	3	2	2	1	15	2	2	2	2	1
30	1	3	1	3	1	1	2	1	2	1	4
30	2	2	2	2	2	11	1	3	2	2	5
41	1	3	1	3	2	17	2	1	1	1	1
14	1	1	2	3	1	13	1	1	2	1	5
34	1	2	2	2	2	9	2	2	2	1	2
1	2	2	2	3	1	1	2	2	2	2	3
5	1	2	1	1	1	24	1	3	1	2	2
29	2	2	1	3	2	11	2	3	1	1	3
5	1	3	1	1	2	17	1	3	1	1	4
13	2	2	1	3	1	2	1	3	1	1	3
17	2	1	1	1	2	1	1	3	1	2	5
46	1	2	1	2	1	19	1	1	2	2	1
46	2	1	1	2	1	12	1	3	1	2	3
20	2	2	2	1	2	11	1	3	1	2	6
40	2	3	2	3	2	8	1	1	2	2	4
37	1	1	2	1	2	16	2	1	2	1	3
13	2	3	2	1	2	18	1	2	1	2	2
36	2	1	1	2	1	24	2	2	1	2	3
1	2	1	2	2	1	11	1	2	2	2	5
2	2	2	1	1	2	6	2	2	1	1	2
17	1	3	1	3	1	17	1	1	1	2	3
41	2	3	1	2	2	14	1	2	2	2	3
6	2	2	1	1	1	17	1	3	2	2	1
6	1	1	1	3	2	16	1	1	2	2	5
16	2	2	1	2	2	13	2	3	2	1	3
31	1	3	1	3	2	17	2	1	1	1	6
45	2	2	1	1	2	20	1	1	2	1	1
13	2	2	1	1	2	1	1	3	2	1	5
21	2	1	1	3	1	21	1	1	2	2	4
41	1	1	2	2	2	20	1	1	2	1	4
45	1	1	2	1	2	9	1	3	1	2	6
35	1	3	1	1	2	7	1	3	2	2	1
29	1	3	1	3	1	19	2	2	2	2	3
9	1	2	1	2	1	18	2	3	2	2	1
28	1	2	2	3	2	8	1	1	2	2	6
44	2	2	2	2	2	4	2	1	2	2	6
22	2	1	2	2	2	3	1	2	1	2	5
40	1	1	2	3	1	23	2	3	1	1	5
1	2	1	2	2	2	13	1	3	2	1	2
15	1	2	2	1	2	3	2	2	2	2	3
4	1	2	1	3	2	14	1	1	2	2	4
7	2	3	1	3	1	10	2	1	1	1	6
13	1	2	2	2	1	15	2	1	2	2	6
31	1	1	1	2	2	12	1	1	1	2	1
13	2	1	1	1	1	20	1	1	1	1	3
42	1	2	1	1	1	14	2	1	1	1	6
37	1	1	1	2	2	7	1	3	1	2	1
32	2	1	2	1	1	8	1	3	1	1	2
19	1	1	1	1	2	7	2	2	1	2	4
35	2	1	1	2	1	24	2	3	2	1	3
10	2	2	2	2	2	5	2	1	1	1	6
44	2	2	1	3	2	24	1	2	1	1	1
20	1	1	2	3	2	10	2	2	1	1	1
15	2	1	1	3	1	9	1	1	2	1	3
24	2	1	1	1	1	7	2	2	2	1	1
8	1	2	2	3	1	17	1	3	1	1	2
12	2	3	1	1	1	22	1	2	1	1	2
12	1	3	2	2	1	1	1	2	2	2	4
14	2	2	2	3	2	19	1	1	1	2	2
48	2	1	2	1	2	20	1	3	1	1	1
25	2	1	1	1	1	17	1	3	1	1	2
7	2	2	1	2	1	6	1	2	2	2	1
18	2	3	2	3	2	18	1	2	1	1	3
24	1	3	2	3	1	20	2	3	1	1	2
5	1	1	1	2	2	21	2	1	1	2	2
21	2	3	1	2	2	7	2	1	1	1	5
35	1	1	1	3	2	3	1	2	2	1	1
2	2	2	1	3	2	9	1	2	2	2	5
27	2	3	1	3	2	13	2	3	1	1	5
42	1	2	1	2	1	5	1	3	1	2	2
11	2	3	1	2	1	23	2	3	1	2	5
31	2	1	2	2	2	1	1	3	2	1	5
48	2	3	1	1	2	24	2	3	1	1	6
3	2	2	1	1	1	2	2	1	1	2	2
39	1	1	2	1	2	10	1	3	1	1	5
40	1	2	1	1	2	3	2	1	2	2	5
19	1	3	1	3	2	20	1	3	2	2	4
35	2	3	2	1	1	19	2	1	2	2	6
20	1	1	2	3	1	17	2	2	2	1	1
16	2	3	2	1	1	1	1	2	1	1	3
35	2	3	2	3	1	12	1	3	2	1	6
26	1	2	2	2	1	10	1	3	2	1	3
22	1	2	1	2	2	23	2	1	1	1	2
11	1	2	1	3	1	9	2	1	1	2	1
29	1	2	2	1	2	14	1	2	1	2	2
6	2	2	1	1	1	14	2	3	1	1	2
1	2	2	2	1	2	19	2	2	2	2	1
39	1	2	1	3	2	8	1	3	1	1	1
22	2	1	2	2	1	12	1	1	2	1	1
13	2	3	2	2	1	8	1	2	2	2	1
48	1	1	1	2	2	6	1	3	1	2	6
11	1	2	2	1	2	12	2	2	2	2	3
3	2	3	2	1	1	23	1	3	1	2	3
5	1	1	2	3	2	16	1	3	1	2	2
6	1	1	1	1	1	3	2	2	2	2	2
8	2	1	2	3	1	12	1	3	1	1	4
21	2	2	2	1	1	15	1	1	2	1	3
46	1	1	2	3	1	13	2	1	2	2	6
16	2	1	2	1	2	24	1	1	1	1	6
12	1	3	1	1	2	7	2	1	1	2	3
27	1	1	2	3	1	8	2	2	1	2	5
47	1	1	1	3	1	11	2	2	2	2	1
27	1	2	2	3	1	11	2	1	2	1	2
40	1	1	2	2	1	2	2	2	2	2	3
33	1	2	2	2	1	15	2	1	2	1	4
